,Year,EVAP,PRECIP,TMAX,TMIN,FECHA,FECHA2
0,1990,6.004191616766468,1136.0,40.0,9.0,1990//01/01,1990-01-01
1,1991,5.6506849315068495,1046.5,41.0,11.0,1991//01/01,1991-01-01
2,1992,6.008059701492537,761.2,40.5,10.5,1992//01/01,1992-01-01
3,1993,5.777313432835821,969.0,44.0,12.0,1993//01/01,1993-01-01
4,1994,5.915634218289086,1056.0,43.0,8.5,1994//01/01,1994-01-01
5,1995,5.907384615384616,669.0,41.0,8.0,1995//01/01,1995-01-01
6,1996,6.00404984423676,924.5,41.0,7.0,1996//01/01,1996-01-01
7,1997,5.6516717325227965,930.0,41.0,3.5,1997//01/01,1997-01-01
8,1998,6.155342465753424,535.0,43.0,4.5,1998//01/01,1998-01-01
9,1999,6.426243093922652,598.6,42.0,6.0,1999//01/01,1999-01-01
10,2000,5.6234972677595625,1209.5,43.0,5.5,2000//01/01,2000-01-01
11,2001,5.136712328767124,713.7,44.0,6.5,2001//01/01,2001-01-01
12,2002,5.883561643835616,637.0,44.0,7.0,2002//01/01,2002-01-01
13,2003,5.5175,704.0,42.0,7.0,2003//01/01,2003-01-01
14,2004,5.124404761904762,1199.0,42.0,6.0,2004//01/01,2004-01-01
15,2005,4.78006230529595,673.4,40.0,8.5,2005//01/01,2005-01-01
16,2006,5.448203592814371,992.0,40.0,8.5,2006//01/01,2006-01-01
17,2007,5.118975903614458,912.5,41.5,5.0,2007//01/01,2007-01-01
18,2008,5.064506172839507,1012.0,40.0,6.5,2008//01/01,2008-01-01
19,2009,5.116923076923077,788.0,43.0,9.5,2009//01/01,2009-01-01
20,2010,5.098795180722892,573.0,42.0,8.0,2010//01/01,2010-01-01
21,2011,5.584756097560976,734.5,41.0,1.5,2011//01/01,2011-01-01
22,2012,5.140119760479042,775.5,41.5,8.0,2012//01/01,2012-01-01
23,2013,5.325671641791044,989.0,41.0,7.0,2013//01/01,2013-01-01
24,2014,5.12955223880597,945.0,42.0,8.0,2014//01/01,2014-01-01
25,2015,4.685329341317366,1115.5,41.0,5.0,2015//01/01,2015-01-01
26,2016,5.426644736842105,517.5,43.0,6.0,2016//01/01,2016-01-01
27,2017,5.161976047904191,703.0,40.0,7.0,2017//01/01,2017-01-01
28,2018,4.9215568862275445,748.0,40.0,4.0,2018//01/01,2018-01-01
